date,time_cdt,measurementtype,benzene_ppb,toluene_ppb,ethylbenzene_ppb,xylenes_ppb,winddirn,windspeed,mean_latitude,mean_longitude,latitude_track,longitude_track
9/4/2017,8:23:52 AM,mobile,1.092440149,2.372292164,0.987948573,4.422004521,23,2,29.7220175,-95.2788753,29.7125183|29.7126728|29.7130150|29.7134760|29.7139638|29.7144740|29.7149552|29.7154103|29.7159067|29.7164758|29.7170760|29.7176872|29.7184060|29.7190457|29.7197460|29.7205308|29.7213310|29.7221117|29.7229075|29.7236922|29.7244560|29.7251815|29.7259453|29.7269092|29.7276393|29.7282670|29.7286445|29.7287637|29.7287677|29.7287865|29.7287833|29.7288148|29.7289625|29.7291330|29.7291152|29.7290602|,-95.2780933|-95.2781035|-95.2781092|-95.2781195|-95.2781318|-95.2781558|-95.2781685|-95.2781703|-95.2781813|-95.2782063|-95.2782457|-95.2782665|-95.2782922|-95.2783395|-95.2783560|-95.2783828|-95.2784028|-95.2783875|-95.2783767|-95.2783922|-95.2784170|-95.2784175|-95.2784768|-95.2785893|-95.2788878|-95.2793682|-95.2797943|-95.2799540|-95.2799625|-95.2799812|-95.2799875|-95.2800430|-95.2803242|-95.2806982|-95.2808520|-95.2808752|
9/4/2017,8:45:30 AM,mobile,10.92127128,16.98550575,2.167038712,9.903447626,31,3,29.7128241,-95.2640834,29.7156063|29.7156077|29.7156178|29.7156363|29.7156730|29.7156993|29.7157252|29.7157438|29.7157348|29.7156192|29.7153950|29.7150993|29.7147753|29.7144560|29.7141392|29.7138245|29.7134835|29.7131288|29.7128183|29.7125682|29.7122942|29.7119327|29.7116605|29.7113870|29.7111040|29.7107740|29.7104578|29.7101870|29.7099263|29.7096517|29.7093810|29.7092060|29.7092122|29.7093253|29.7093832|29.7094335|,-95.2780022|-95.2774228|-95.2767643|-95.2760537|-95.2752858|-95.2744725|-95.2736343|-95.2727722|-95.2718915|-95.2710242|-95.2701735|-95.2693485|-95.2685285|-95.2676920|-95.2668873|-95.2660587|-95.2651712|-95.2642512|-95.2633473|-95.2624212|-95.2615377|-95.2604935|-95.2596918|-95.2588912|-95.2580403|-95.2571790|-95.2564515|-95.2557727|-95.2550843|-95.2543995|-95.2538217|-95.2534077|-95.2529648|-95.2527675|-95.2526845|-95.2526115|
9/4/2017,9:02:23 AM,mobile,3.017513763,4.962177122,2.768098333,13.43183873,31,3,29.7090527,-95.2379261,29.7089992|29.7089225|29.7088032|29.7086807|29.7085655|29.7084715|29.7083913|29.7083253|29.7082893|29.7082793|29.7082892|29.7083417|29.7084283|29.7085023|29.7085818|29.7086695|29.7087412|29.7088148|29.7088820|29.7089707|29.7090523|29.7091345|29.7092257|29.7093088|29.7093918|29.7094823|29.7095832|29.7096883|29.7097702|29.7098248|29.7098847|29.7099503|29.7099630|29.7099975|29.7098570|29.7098318|,-95.2503597|-95.2501097|-95.2497590|-95.2492768|-95.2486548|-95.2480650|-95.2473955|-95.2467085|-95.2460388|-95.2453540|-95.2446465|-95.2439308|-95.2431813|-95.2423818|-95.2415348|-95.2406662|-95.2397848|-95.2389077|-95.2380288|-95.2369757|-95.2360693|-95.2350720|-95.2340702|-95.2330788|-95.2320632|-95.2310292|-95.2299983|-95.2290345|-95.2283420|-95.2277892|-95.2271352|-95.2265093|-95.2260742|-95.2257855|-95.2256865|-95.2258435|
9/4/2017,9:17:47 AM,mobile,2.447817181,2.489049273,1.068550438,4.173266767,31,3,29.7140925,-95.2260818,29.7188680|29.7186483|29.7183957|29.7181658|29.7179333|29.7177017|29.7173998|29.7170707|29.7167457|29.7165512|29.7164488|29.7163407|29.7162177|29.7161017|29.7159153|29.7155752|29.7151642|29.7147292|29.7142983|29.7139177|29.7135030|29.7130535|29.7125777|29.7120918|29.7116120|29.7111383|29.7106702|29.7102445|29.7100697|29.7099928|29.7099897|29.7100382|29.7100397|29.7100153|29.7100375|29.7100657|,-95.2252863|-95.2252765|-95.2252718|-95.2252797|-95.2252935|-95.2252912|-95.2253172|-95.2253445|-95.2254187|-95.2255125|-95.2256458|-95.2258050|-95.2259782|-95.2260650|-95.2261582|-95.2261947|-95.2261960|-95.2261995|-95.2261945|-95.2261793|-95.2261868|-95.2261837|-95.2261795|-95.2261720|-95.2261708|-95.2261642|-95.2261573|-95.2261523|-95.2261772|-95.2263813|-95.2267143|-95.2269213|-95.2271037|-95.2272932|-95.2274707|-95.2276077|
9/4/2017,9:32:24 AM,mobile,1.856209192,3.786645322,1.478468494,6.27832517,82,2,29.713601,-95.2602254,29.7123542|29.7125830|29.7129468|29.7133517|29.7135147|29.7136185|29.7136713|29.7136945|29.7137093|29.7137292|29.7137457|29.7137450|29.7137465|29.7137340|29.7137253|29.7137217|29.7137242|29.7137278|29.7137325|29.7137253|29.7137295|29.7137353|29.7137428|29.7137413|29.7137112|29.7136933|29.7137020|29.7136888|29.7136837|29.7136843|29.7136727|29.7136712|29.7136735|29.7136700|29.7136682|29.7136687|,-95.2607365|-95.2606720|-95.2605587|-95.2604857|-95.2603110|-95.2602008|-95.2601943|-95.2601982|-95.2602052|-95.2602077|-95.2602110|-95.2602092|-95.2602037|-95.2601963|-95.2601947|-95.2601902|-95.2601912|-95.2601913|-95.2601928|-95.2601852|-95.2601908|-95.2601857|-95.2601773|-95.2601663|-95.2601585|-95.2601568|-95.2601525|-95.2601412|-95.2601265|-95.2601218|-95.2601233|-95.2601302|-95.2601335|-95.2601385|-95.2601385|-95.2601390|
9/4/2017,9:48:29 AM,static,2.688842658,7.071765791,6.913337101,41.82709589,82,2,29.7175886,-95.2522948, , 
9/4/2017,10:03:07 AM,mobile,2.141057483,3.768070328,1.411684092,6.218443858,82,2,29.7194861,-95.2609642,29.7183732|29.7184605|29.7185358|29.7186672|29.7187192|29.7187038|29.7186895|29.7186777|29.7186557|29.7186375|29.7185940|29.7185760|29.7185472|29.7185290|29.7185162|29.7185092|29.7185015|29.7184778|29.7184398|29.7184185|29.7184113|29.7184055|29.7183953|29.7184117|29.7186655|29.7191798|29.7198100|29.7204535|29.7211882|29.7216742|29.7220822|29.7224702|29.7226322|29.7227605|29.7228692|29.7228595|,-95.2532805|-95.2534698|-95.2536338|-95.2538878|-95.2542367|-95.2546757|-95.2551855|-95.2557408|-95.2562717|-95.2567655|-95.2573990|-95.2581248|-95.2588168|-95.2595010|-95.2599232|-95.2600952|-95.2605595|-95.2613243|-95.2620250|-95.2627890|-95.2635457|-95.2641922|-95.2649188|-95.2654833|-95.2656130|-95.2656417|-95.2657028|-95.2657330|-95.2657603|-95.2657800|-95.2657837|-95.2657930|-95.2657793|-95.2657922|-95.2657543|-95.2657330|
9/4/2017,10:25:43 AM,mobile,3.549647932,6.227930323,1.040915513,4.700682931,82,2,29.7196458,-95.2588083,29.7152085|29.7155480|29.7159580|29.7163802|29.7165885|29.7169850|29.7175242|29.7180792|29.7184498|29.7185732|29.7186425|29.7186307|29.7186190|29.7186672|29.7189797|29.7194317|29.7198723|29.7200017|29.7199973|29.7199873|29.7199660|29.7200170|29.7203505|29.7206630|29.7211078|29.7216155|29.7219972|29.7220355|29.7220198|29.7220372|29.7220063|29.7220173|29.7221328|29.7224408|29.7225040|29.7222142|,-95.2558645|-95.2558927|-95.2559007|-95.2559173|-95.2559238|-95.2559382|-95.2559520|-95.2559510|-95.2559427|-95.2559820|-95.2563525|-95.2569728|-95.2576483|-95.2580040|-95.2580382|-95.2580420|-95.2580697|-95.2582745|-95.2587932|-95.2594507|-95.2599970|-95.2601678|-95.2601738|-95.2601778|-95.2602083|-95.2602322|-95.2602535|-95.2604833|-95.2609923|-95.2615900|-95.2620880|-95.2621980|-95.2622225|-95.2622437|-95.2623830|-95.2627772|
9/4/2017,10:40:45 AM,mobile,3.22723723,5.715791187,,4.226238696,76,2,29.717234,-95.2621688,29.7216585|29.7215408|29.7214620|29.7211993|29.7206650|29.7200455|29.7193875|29.7187725|29.7184527|29.7182967|29.7179483|29.7175308|29.7173040|29.7171748|29.7171467|29.7170863|29.7170075|29.7168448|29.7166672|29.7165055|29.7163657|29.7161865|29.7159965|29.7158280|29.7157930|29.7157518|29.7155513|29.7152773|29.7151042|29.7150948|29.7151088|29.7151355|29.7151590|29.7151542|29.7151210|29.7151002|,-95.2650372|-95.2654190|-95.2655882|-95.2656533|-95.2656417|-95.2656460|-95.2656197|-95.2655923|-95.2655042|-95.2654370|-95.2654007|-95.2653132|-95.2649303|-95.2645108|-95.2643747|-95.2642620|-95.2640258|-95.2635792|-95.2630202|-95.2624872|-95.2619980|-95.2614350|-95.2608238|-95.2603232|-95.2601292|-95.2599400|-95.2598995|-95.2596125|-95.2590282|-95.2583762|-95.2577412|-95.2571623|-95.2564625|-95.2561005|-95.2560172|-95.2559835|
9/4/2017,10:56:10 AM,mobile,53.47635386,123.337964,,38.12597023,76,2,29.7163077,-95.2567715,29.7157893|29.7157815|29.7157722|29.7157662|29.7157443|29.7157210|29.7157153|29.7156930|29.7156837|29.7156905|29.7156998|29.7156920|29.7156917|29.7156643|29.7156858|29.7159267|29.7163607|29.7164048|29.7164262|29.7164387|29.7164440|29.7164637|29.7164765|29.7165050|29.7165163|29.7165408|29.7165615|29.7166108|29.7169450|29.7172583|29.7172972|29.7172885|29.7172460|29.7172135|29.7171920|29.7171712|,-95.2547350|-95.2549723|-95.2553358|-95.2557408|-95.2559210|-95.2563632|-95.2569117|-95.2574935|-95.2579935|-95.2584500|-95.2589452|-95.2589622|-95.2590433|-95.2594145|-95.2596750|-95.2597752|-95.2597405|-95.2593085|-95.2586832|-95.2581363|-95.2578435|-95.2572837|-95.2566610|-95.2560468|-95.2555358|-95.2549752|-95.2543875|-95.2538930|-95.2538393|-95.2538910|-95.2542542|-95.2547503|-95.2554250|-95.2558882|-95.2564003|-95.2570973|
9/4/2017,11:10:44 AM,mobile,39.39357957,91.24037334,,63.24848342,76,2,29.716288,-95.2569833,29.7170600|29.7171102|29.7171395|29.7171558|29.7171807|29.7171887|29.7172093|29.7172158|29.7172480|29.7172398|29.7172720|29.7170888|29.7166923|29.7165503|29.7165160|29.7165130|29.7165260|29.7165082|29.7164733|29.7164675|29.7163333|29.7159412|29.7157560|29.7157595|29.7157475|29.7157363|29.7154600|29.7152158|29.7150582|29.7150738|29.7150972|29.7151007|29.7151025|29.7151533|29.7155268|29.7159490|,-95.2593683|-95.2589215|-95.2583488|-95.2579490|-95.2574323|-95.2568030|-95.2561670|-95.2557487|-95.2551487|-95.2545077|-95.2540303|-95.2538252|-95.2538268|-95.2542137|-95.2547695|-95.2554090|-95.2559867|-95.2565838|-95.2572395|-95.2578288|-95.2579508|-95.2579485|-95.2582012|-95.2587583|-95.2593070|-95.2596880|-95.2597988|-95.2595088|-95.2589658|-95.2583877|-95.2577258|-95.2570232|-95.2563385|-95.2559013|-95.2558863|-95.2559018|
9/4/2017,11:26:59 AM,static,1.098700551,3.176324072,0.651723651,4.714501696,76,2,29.7150715,-95.2560016, , 
9/4/2017,11:43:34 AM,mobile,2.188010498,3.539863252,0.773777903,4.007441598,66,2,29.7186177,-95.2575422,29.7186808|29.7186973|29.7186840|29.7186920|29.7186918|29.7186867|29.7186460|29.7186195|29.7185853|29.7185567|29.7185497|29.7185398|29.7185205|29.7184972|,-95.2539807|-95.2542870|-95.2546973|-95.2551690|-95.2557310|-95.2565447|-95.2573230|-95.2580910|-95.2588220|-95.2594988|-95.2598715|-95.2599892|-95.2604350|-95.2611502|
9/4/2017,11:57:34 AM,mobile,1.211387786,2.563349251,0.566515965,2.685446496,66,2,29.7159751,-95.2571676,29.7153017|29.7150888|29.7149798|29.7149993|29.7150342|29.7150595|29.7150718|29.7151832|29.7154932|29.7157410|29.7157267|29.7157228|29.7157293|29.7157268|29.7157212|29.7157105|29.7157073|29.7156962|29.7157410|29.7160503|29.7163643|29.7164043|29.7164202|29.7164270|29.7164342|29.7164590|29.7164842|29.7165072|29.7165177|29.7165257|29.7165278|29.7165315|29.7166263|29.7169502|29.7172125|29.7172283|,-95.2597097|-95.2592498|-95.2586807|-95.2580112|-95.2573358|-95.2566695|-95.2560842|-95.2558483|-95.2558352|-95.2559760|-95.2564010|-95.2569090|-95.2571940|-95.2574292|-95.2578438|-95.2583625|-95.2589143|-95.2594417|-95.2597110|-95.2597845|-95.2596677|-95.2593400|-95.2589533|-95.2584093|-95.2580305|-95.2577240|-95.2571668|-95.2565772|-95.2559992|-95.2555407|-95.2549355|-95.2542878|-95.2538855|-95.2538513|-95.2539600|-95.2543118|
